2;arms_factory;384.00;10.00;1478.00;3.51;0
2;arms_factory;408.00;10.48;1479.00;1.35;0
2;arms_factory;411.00;10.00;1491.00;1.46;0
2;arms_factory;386.00;10.10;1463.00;5.58;0
2;arms_factory;405.00;11.10;1469.00;1.96;0
2;arms_factory;412.00;10.20;1483.00;6.08;0
2;industrial_complex;412.00;11.00;1472.00;6.18;0
2;industrial_complex;407.00;10.20;1486.00;4.02;0
2;industrial_complex;374.00;10.10;1456.00;0.41;0
2;industrial_complex;402.00;10.12;1489.00;3.07;0
2;industrial_complex;367.00;9.93;1461.00;6.09;0
2;industrial_complex;395.00;10.75;1464.00;2.47;0
2;air_base;380.00;9.93;1463.00;5.13;0
2;supply_node;392.00;10.07;1484.00;2.39;0
2;supply_node;400.00;11.10;1460.00;5.32;0
2;supply_node;374.00;10.00;1459.00;1.63;0
2;supply_node;407.00;10.10;1488.00;4.56;0
2;supply_node;407.00;10.90;1474.00;1.21;0
2;supply_node;383.00;10.00;1470.00;3.80;0
2;supply_node;388.00;10.43;1454.00;0.45;0
2;supply_node;367.00;9.93;1451.00;1.93;0
2;supply_node;419.00;10.50;1490.00;5.97;0
2;supply_node;395.00;10.68;1473.00;2.63;0
2;naval_base;389.00;9.68;1491.00;-2.50;7909
2;naval_base;372.00;9.93;1463.00;-2.76;7909
2;naval_base;380.00;9.90;1466.00;-2.21;7909
2;naval_base;370.00;9.60;1446.00;-1.57;7909
2;naval_base;402.00;9.90;1492.00;-2.55;7909
2;bunker;423.00;10.70;1493.00;3.74;0
2;bunker;392.00;10.70;1454.00;0.48;0
2;bunker;371.00;9.95;1463.00;3.14;0
2;bunker;385.00;10.10;1472.00;5.81;0
2;bunker;408.00;10.50;1478.00;2.54;0
2;bunker;405.00;11.32;1462.00;5.21;0
2;bunker;397.00;10.55;1475.00;1.59;0
2;bunker;406.00;10.30;1483.00;4.25;0
2;bunker;364.00;9.85;1460.00;0.99;0
2;bunker;388.00;10.03;1481.00;3.66;0
2;coastal_bunker;369.00;9.60;1448.00;-1.57;0
